"Table Device_table(param_vals,devices)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
input_heat_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_heat_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_startup_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_startup_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_cap_cost,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,16466666.67,16466666.67,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,16466666.67,16466666.67,1.65E+07,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,16466666.67,1.65E+07,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,16466666.67,1.65E+07,22533333.33,22533333.33,22533333.33,22533333.33,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,22533333.33,2.25E+07,2.25E+07,22533333.33,22533333.33,22533333.33,2.25E+07,2.25E+07,22533333.33,2.25E+07,22533333.33,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07,2.25E+07
input_cap_alt_cost,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33,16383333.33
output_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2stor_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2comp_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_FOM_cost,138639.3232,82478.36143,85513.82347,62312.61617,101633.222,119839.6762,87597.36911,83723.01319,116192.0673,139335.0084,107092.7013,72796.33266,83785.49148,110053.049,104060.7492,94895.39486,149203.77,109562.3487,142338.8803,162539.7257,84037.51064,31060.83565,31060.83565,44900.82965,55444.21641,46282.37204,43604.22965,25383.73539,70611.69855,91720.93618,200615.9606,133348.8863,230966.9305,230966.9305,148823.1439,214022.3974,153114.0685,169289.0657,194850.8291,33512.93299,44683.91065,41583.16231,73637.33255,96505.0883,48279.57128,35778.99947,24381.97676,48279.57128,60822.96529,47795.18904,34313.91869,142324.1382,142324.1382,99626.89674,111702.7566,88304.98838,132457.4826,95237.97244,148147.9571,137205.8325,136979.7875,123228.2459,130766.3567,154663.9513,167283.1616,111075.1657,153231.1626,143385.5671,119487.9726,150428.0637,90931.88453,162185.9161,132737.5819,84994.90267,265475.1637,353966.885,309721.0244,221229.3031,353966.885,265475.1637,353966.885,398212.7456,265475.1637,353966.885,309721.0244,398212.7456,353966.885,353966.885,265475.1637,265475.1637,382477.062,254984.708,297482.1594,297482.1594,297482.1594,212487.2567,212487.2567,339979.6107,297482.1594,254984.708,225318.7528,212487.2567,297482.1594,297482.1594,254984.708,254984.708,254984.708,297482.1594,254984.708,339979.6107,121421.2895,284437.6754,158020.9308,252833.4893,252833.4893,221229.3031,105514.598
input_FOM_alt_cost,413132.1516,230777.0318,234822.6683,165858.3564,269679.0909,319245.641,226736.8257,215157.9296,313467.1606,370983.1873,286747.5223,196241.636,230115.8087,303867.5895,270095.0124,252982.8667,395536.5241,291393.952,381011.9635,438253.1504,223620.6177,82488.08357,80799.65869,131658.46,159891.0841,128559.8801,121076.2343,72246.87513,191952.9449,256526.8156,597584.6323,408939.9553,634678.2608,625339.8572,437926.4577,637519.0452,405187.239,490488.3631,564549.5403,97098.43677,133102.1632,118353.4846,219347.1455,287464.4547,137412.7213,108102.9342,74772.01169,137412.7213,178977.4429,142369.8812,100972.016,423947.913,397702.3217,296763.5391,337499.5367,276104.204,414156.306,287752.7159,441295.609,408701.7641,408028.4326,357034.4036,395098.4396,455113.597,492246.8408,335603.3289,456437.2033,400668.3172,355924.7029,428146.5027,270863.2784,453202.9225,370914.2044,250105.7005,842611.6543,1094389.519,957590.8287,618190.3407,1094389.519,717452.8034,938359.8773,1287501.66,847970.0209,1123482.206,957590.8287,1271955.031,989104.5451,958360.579,847276.229,820792.1389,1108166.953,820613.6732,949978.4773,949428.0317,861907.6299,615648.3071,615648.3071,1094151.564,861907.6299,679110.8721,663022.1666,583897.6264,792296.0174,778566.9826,738777.9685,750317.1016,738777.9685,950205.4706,750317.1016,1094151.564,384160.7387,908322.2684,420606.5075,783649.9664,791367.3682,702176.3786,283518.0102
output_FOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_VOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_VOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
output_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
H2stor_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
H2comp_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2stor_interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2comp_interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2_use,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2_price_adj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_consumed_adj,0.149826349,0.117063249,0.121000166,0.08516403,0.137106304,0.151525986,0.121192204,0.1205061,0.161584851,0.190923256,0.146358937,0.114547225,0.120743744,0.156649493,0.147927251,0.133549754,0.210001709,0.151191054,0.19882135,0.232245599,0.114508819,0.043480197,0.042020466,0.068788945,0.082101796,0.066283329,0.064091554,0.037310212,0.096825487,0.13990404,0.230195601,0.159830614,0.249604016,0.249604016,0.160831918,0.241050928,0.175689835,0.190668299,0.21486769,0.051737964,0.068983951,0.062308108,0.113682847,0.148986564,0.072341991,0.057476163,0.039167738,0.073045456,0.09389976,0.073787208,0.054106313,0.219722967,0.219722967,0.153806077,0.176133315,0.145305141,0.217957712,0.158514449,0.233600241,0.211821221,0.211472248,0.197956534,0.20619287,0.238773428,0.253094105,0.175143728,0.236561459,0.221361623,0.18446802,0.22540104,0.140382536,0.2949336,0.172415767,0.114449825,0.344831535,0.45977538,0.402303457,0.287359612,0.45977538,0.344831535,0.45977538,0.517247302,0.344831535,0.45977538,0.402303457,0.517247302,0.45977538,0.45977538,0.344831535,0.344831535,0.552348826,0.343349476,0.398374135,0.400574389,0.398374135,0.286124564,0.284552954,0.515430472,0.400574389,0.343349476,0.309775619,0.286124564,0.400574389,0.400574389,0.343349476,0.343349476,0.343349476,0.400574389,0.343349476,0.457799302,0.455028187,0.517247302,0.291092222,0.45977538,0.45977538,0.402303457,0.198912849
energy_only,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
baseload_operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active_devices,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
