Scenario,label,uri,eia_id,name,utility,sector,description,comments,voltage_category,size flat demand tier (kW),max flat demand tier (kW),min flat demand tier (kW),size TOU demand tier (kW),max TOU demand tier (kW),min TOU demand tier (kW),size energy rate tier (kW),max energy rate tier (kW),min energy rate tier (kW),max energy usage (kWh),min energy usage (kWh),max peak capacity (kW),min peak capacity (kW),approved,start date,end date,supercedes,parent source,min monthly charge ($),annual minimum charge ($),minimum voltage,maximum voltage,phase wiring,demand window (min),demand attributes,additional energy comments,revisions
1,5a33088e5457a305325c48a1,https://openei.org/apps/USURDB/rate/view/5a33088e5457a305325c48a1,14328,A-6 Small General Service TOU Single Phase,Pacific Gas & Electric Co,Commercial,"Fixed Monthly Charge is the Total Customer Charge per day,"" averaged out for a month. ($0.32854 per meter per day * 365 days/ 12 months).",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,5,1000000000.0,1000000000.0,1e+99,0,75,0,False,12/31/2016,02/27/2017,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML#ERS,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,Single Phase,No demand window given,No additional demand attributes given,No additional energy comments given,"['12/14/2017 09:26:06', '12/14/2017 09:27:44', '07/25/2018 08:55:51', '07/27/2018 05:32:43', '07/27/2018 06:40:14', '07/27/2018 09:58:33', '07/27/2018 10:01:04']"
2,5a33090c5457a357345c48a1,https://openei.org/apps/USURDB/rate/view/5a33090c5457a357345c48a1,14328,A-6 Small General Service TOU Poly Phase,Pacific Gas & Electric Co,Commercial,"Fixed Monthly Charge is the Total Customer Charge per day,"" averaged out for a month. ($0.65708 per meter per day * 365 days/ 12 months).",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,5,1000000000.0,1000000000.0,1e+99,0,75,0,False,12/31/2016,02/27/2017,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML#ERS,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,3-Phase,No demand window given,No additional demand attributes given,No additional energy comments given,"['12/14/2017 09:28:12', '12/14/2017 09:29:07', '07/25/2018 08:57:24', '07/27/2018 05:38:30', '07/27/2018 06:40:43', '07/27/2018 09:56:07']"
3,5a34091d5457a3ce515c48a1,https://openei.org/apps/USURDB/rate/view/5a34091d5457a3ce515c48a1,14328,A-10 Medium General Demand Service (Secondary Voltage),Pacific Gas & Electric Co,Commercial,"Schedule A*10 is a demand metered rate schedule for general service customers.  Schedule  A*10 applies to single*phase and polyphase alternating*current service (for a description of these terms,"" see Section D of Rule 2*).   If the customer's demand exceeds 499 kW for three consecutive months,"" the customer's account will be transferred to Schedule E*19 or E*20.",Fixed Monthly Charge is the Meter Charge Rate per meter per day averaged out for a month. There is also an optional meter data access charge of $0.98563 per meter per day.,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,2,1000000000.0,1000000000.0,1e+99,0,500,0,False,12/31/2016,02/27/2017,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML#ERS,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['12/15/2017 03:40:45', '12/15/2017 03:42:16', '07/25/2018 09:02:39', '07/27/2018 05:40:33', '07/27/2018 06:41:28', '07/27/2018 09:47:48']"
4,5a340a145457a3665a5c48a1,https://openei.org/apps/USURDB/rate/view/5a340a145457a3665a5c48a1,14328,A-10 Medium General Demand Service (Transmission Voltage),Pacific Gas & Electric Co,Commercial,"If the customer's demand exceeds 499 kW for three consecutive months,"" the customer's account will be transferred to Schedule E*19 or E*20.",Fixed Monthly Charge is the Meter Charge Rate per meter per day averaged out for a month. There is also an optional meter data access charge of $0.98563 per meter per day.,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,2,1000000000.0,1000000000.0,1e+99,0,500,0,True,10/23/2017,No end date given,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML#ERS,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['12/15/2017 03:44:52', '12/15/2017 03:45:44']"
5,5a340a775457a3ce515c48a2,https://openei.org/apps/USURDB/rate/view/5a340a775457a3ce515c48a2,14328,A-10 Medium General Demand Service TOU (Secondary Voltage),Pacific Gas & Electric Co,Commercial,"Schedule A*10 is a demand metered rate schedule for general service customers.  Schedule A*10 applies to single*phase and polyphase alternating*current service (for a description of  these terms,"" see Section D of Rule 2*).  This schedule is not available to residential or agricultural service for which a residential or agricultural schedule is applicable,"" except for single*phase and polyphase service in common areas in a multifamily complex (see Common*Area Accounts section). Under Rate Schedule A*10,"" there is a limit on the demand (the number of kilowatts (kW)) the customer may require from the PG&E system.  If the customer's demand exceeds 499 kW for three consecutive months,"" the customer's account will be transferred to Schedule E*19 or E*20. Under Rate Schedule A*10,"" a bundled service customer with a maximum demand of 200 kW or greater for three consecutive months must have an interval data meter that can be read remotely by PG&E and pay the time*of*use (TOU) charges in accordance with the terms and conditions of this rate schedule.",Fixed Monthly Charge is the Meter Charge Rate per meter per day averaged out for a month. There is also an optional meter data access charge of $0.98563 per meter per day.,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,5,1000000000.0,1000000000.0,1e+99,0,500,0,False,12/31/2016,02/27/2017,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML#ERS,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['12/15/2017 03:46:31', '12/15/2017 03:48:05', '07/25/2018 09:05:11', '07/27/2018 05:43:17', '07/27/2018 06:41:58', '07/27/2018 09:39:35']"
6,5a340b6e5457a316275c48a1,https://openei.org/apps/USURDB/rate/view/5a340b6e5457a316275c48a1,14328,A-10 Medium General Demand Service TOU (Transmission Voltage),Pacific Gas & Electric Co,Commercial,"If the customer's demand exceeds 499 kW for three consecutive months,"" the customer's account will be transferred to Schedule E*19 or E*20.",Fixed Monthly Charge is the Meter Charge Rate per meter per day averaged out for a month. There is also an optional meter data access charge of $0.98563 per meter per day.,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,5,1000000000.0,1000000000.0,1e+99,0,500,0,True,10/23/2017,No end date given,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML#ERS,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['12/15/2017 03:50:38', '12/15/2017 03:52:07']"
7,5a340c8f5457a316275c48a2,https://openei.org/apps/USURDB/rate/view/5a340c8f5457a316275c48a2,14328,E-19 Medium General Demand TOU (Secondary),Pacific Gas & Electric Co,Commercial,Ongoing daily Time*of*Use (TOU) meter charges applicable to customers taking   voluntary TOU service under this rate schedule will no longer be applied if the customer   has a SmartMeter™ installed.    Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.,The fixed monthly charge include the customer charge mandatory ($19.71253*365/12). Customer charge voluntary -with smartmeter ($4.59959 *365/12),No voltage category given,12,1000000000.0,1000000000.0,4,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,999,500,False,12/31/2016,02/27/2017,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,[{'Power-Factor-Adjustment-Rate-$': '0.00005'}],No additional energy comments given,"['12/15/2017 03:55:27', '12/15/2017 04:03:02', '07/25/2018 09:08:30', '07/26/2018 12:20:23', '07/27/2018 06:34:53', '07/27/2018 09:33:54']"
8,5a340f215457a346235c48a1,https://openei.org/apps/USURDB/rate/view/5a340f215457a346235c48a1,14328,E-19 Medium General Demand TOU (Transmission),Pacific Gas & Electric Co,Commercial,Ongoing daily Time*of*Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter™ installed.    Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.,The fixed monthly charge include the customer charge mandatory ($59.13758*365/12). Customer charge voluntary -with smartmeter ($4.59959 *365/12),No voltage category given,12,1000000000.0,1000000000.0,4,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,999,500,True,10/23/2017,No end date given,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['12/15/2017 04:06:25', '12/15/2017 04:08:39']"
9,5a340fd65457a3e2445c48a1,https://openei.org/apps/USURDB/rate/view/5a340fd65457a3e2445c48a1,14328,"E-19 Medium General Demand TOU (Secondary,"" Voluntary)",Pacific Gas & Electric Co,Commercial,"This schedule is available on a voluntary basis for customers with maximum billing demands less than 500 kW. Customers voluntarily taking service on this schedule are subject to all the terms and conditions below,"" unless otherwise specified in Section 14.    Ongoing daily Time*of*Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter™ installed.",No comments,No voltage category given,12,1000000000.0,1000000000.0,4,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,500,0,False,12/31/2016,02/27/2017,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML#ERS,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,[{'Power-Factor-Adjustment-Rate-': '0.00005'}],No additional energy comments given,"['12/15/2017 04:09:26', '12/15/2017 04:10:55', '07/25/2018 09:13:47', '07/26/2018 12:11:07', '07/27/2018 05:49:23', '07/27/2018 06:54:35', '07/27/2018 09:28:23']"
10,5a3410d45457a316275c48a3,https://openei.org/apps/USURDB/rate/view/5a3410d45457a316275c48a3,14328,"E-19 Medium General Demand TOU (Transmission,"" Voluntary)",Pacific Gas & Electric Co,Commercial,"This schedule is available on a voluntary basis for customers with maximum billing demands less than 500 kW. Customers voluntarily taking service on this schedule are subject to all the terms and conditions below,"" unless otherwise specified in Section 14.    Ongoing daily Time*of*Use (TOU) meter charges applicable to customers taking voluntary TOU service under this rate schedule will no longer be applied if the customer has a SmartMeter™ installed.     Peak Day Pricing Rates are applicable to customers taking this rate. A maximum of fifteen (15) PDP events and a minimum of nine (9) PDP events may be called in any calendar year.",No comments,No voltage category given,12,1000000000.0,1000000000.0,4,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,500,0,True,10/23/2017,No end date given,No supercedes item given,http://www.pge.com/tariffs/ERS.SHTML,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['12/15/2017 04:13:40', '12/15/2017 04:15:00']"
