Scenario,label,uri,eia_id,name,utility,sector,description,comments,voltage_category,size flat demand tier (kW),max flat demand tier (kW),min flat demand tier (kW),size TOU demand tier (kW),max TOU demand tier (kW),min TOU demand tier (kW),size energy rate tier (kW),max energy rate tier (kW),min energy rate tier (kW),max energy usage (kWh),min energy usage (kWh),max peak capacity (kW),min peak capacity (kW),approved,start date,end date,supercedes,parent source,min monthly charge ($),annual minimum charge ($),minimum voltage,maximum voltage,phase wiring,demand window (min),demand attributes,additional energy comments,revisions
1,539f6a0aec4f024411ec8af3,https://openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8af3,11124,Group 3 Industrial Secondary,"City of Lodi,"" California (Utility Company)",Industrial,"This schedule shall be applied to accounts with billing period demands of between 400 kilowatts (kW) and 500 kW for three consecutive billing cycles. This schedule is not available for service when another commercial/industrial schedule is applicable.   Demand: The billing period and peak period demands will be the maximum average power taken during any 15*minute interval in the billing period and peak period,"" respectively,"" but not less than the diversified resistance welder load. In cases where the use of energy is intermittent or subject to violent fluctuations,"" a 5*minute interval may be used.  Assignment to Schedule: If,"" in the judgement of the City,"" an account is expected to have billing period demand of 400 kW or more and less than 500 kW per billing cycle,"" the City has the option of placing the account immediately on this schedule.  When an account billed on this schedule permanently changes the nature of electrical operations to such an extent that the account would in time qualify for another rate schedule,"" such billing change will be made as soon as practicable after verification of said changes. It shall be the responsibility of the customer to notify the City of any such changes.  If billing period demand drops below 400 kW and remains there for 12 consecutive billing cycles,"" the City will transfer the account to the appropriate rate schedule. If billing period demand reaches or exceeds 500 kW for three consecutive billing cycles,"" the account will be transferred to the appropriate rate schedule.  *Adjustment = California Solar Initiative Surcharge  *Summer Partial Peak = 8:30 a.m. to 3:00 p.m. and 7:00 p.m. to 9:30 p.m. Monday through Friday (except holidays)  *Summer Off Peak = 9:30 p.m. to 8:30 a.m. Monday through Friday and all day Saturday,"" Sunday and holidays.   *Winter Partial Peak = 8:30 a.m. to 9:30 p.m. Monday through Friday (except holidays).   *Winter Off Peak = 9:30 p.m. to 8:30 a.m. Monday through Friday and all day Saturday,"" Sunday and holidays.",No comments,No voltage category given,12,1000000000.0,1000000000.0,2,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,07/06/2007,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['07/16/2012 09:48:33', '07/16/2012 10:14:52', '07/16/2012 10:15:14', '07/16/2012 10:18:52', '07/16/2012 10:21:18', '07/16/2012 10:52:40', '12/07/2012 19:29:57', '01/28/2013 13:05:04', '02/18/2013 08:27:09', '02/18/2013 08:38:27', '11/14/2013 09:09:41', '04/16/2014 14:29:43', '03/26/2015 15:26:29']"
2,539f6d8cec4f024411ecb78d,https://openei.org/apps/USURDB/rate/view/539f6d8cec4f024411ecb78d,11124,Standby Service(Secondary),"City of Lodi,"" California (Utility Company)",Commercial,"This schedule is applicable to commercial/industrial customers who would otherwise qualify for Schedule G2,"" G3,"" G4,"" G5 or I1 and who operate privately*owned generating plants with a combined nameplate rating greater than 100 kilowatts (kW) on their premises and where the City must stand ready to supply electric service to replace such a plant.","All energy provided by the City will be billed at the applicable energy rate for the appropriate service voltage,"" season and periods as defined in the rate schedule for which the customer would normally qualify.",No voltage category given,12,1000000000.0,1000000000.0,2,1000000000.0,1000000000.0,1,0.0,0.0,1e+99,0,1e+99,0,True,05/01/1998,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['04/06/2012 14:32:33', '04/06/2012 14:41:30', '12/07/2012 22:35:21', '02/18/2013 09:37:59', '02/18/2013 09:38:26', '04/22/2013 14:03:33', '04/22/2013 14:12:30', '03/26/2015 15:26:54']"
3,539f713aec4f024411ece393,https://openei.org/apps/USURDB/rate/view/539f713aec4f024411ece393,11124,Group 4 Industrial Primary,"City of Lodi,"" California (Utility Company)",Industrial,"This schedule shall be applied to accounts with billing period demands of between 500 kilowatts (kW) and 1,""000 kW for three consecutive billing cycles. This schedule is not available for service when another commercial/industrial schedule is applicable.   Demand: The billing period and peak period demands will be the maximum average power taken during any 15*minute interval in the billing period and peak period,"" respectively,"" but not less than the diversified resistance welder load. In cases where the use of energy is intermittent or subject to violent fluctuations,"" a 5*minute interval may be used.  Assignment to Schedule: If,"" in the judgement of the City,"" an account is expected to have billing period demand between 500 kW and 1,""000 kW per billing cycle,"" the City has the option of placing the account immediately on this schedule.  When an account billed on this schedule permanently changes the nature of electrical operations to such an extent that the account would in time qualify for another rate schedule,"" such billing change will be made as soon as practicable after verification of said changes. It shall be the responsibility of the customer to notify the City of any such changes.  If billing period demand drops below 500 kW and remains there for 12 consecutive billing cycles,"" the City will transfer the account to the appropriate rate schedule. If billing period demand reaches or exceeds 1,""000 kW for three consecutive billing cycles,"" the account will be transferred to the appropriate rate schedule.   *Adjustment = California Solar Initiative Surcharge  *Summer Partial Peak = 8:30 a.m. to 3:00 p.m. and 7:00 p.m. to 9:30 p.m. Monday through Friday (except holidays).   *Summer Off Peak = 9:30 p.m. to 8:30 a.m. Monday through Friday and all day Saturday,"" Sunday and holidays.  *Winter Peak = 8:30 a.m. to 9:30 p.m. Monday through Friday (except holidays).   *Winter Off Peak = 9:30 p.m. to 8:30 a.m. Monday through Friday and all day Saturday,"" Sunday and holidays",No comments,No voltage category given,12,1000000000.0,1000000000.0,2,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,07/06/2007,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['07/16/2012 10:55:36', '07/16/2012 10:58:41', '07/16/2012 11:47:12', '07/16/2012 12:12:42', '12/08/2012 01:03:15', '02/18/2013 08:41:38', '04/16/2014 14:33:23', '03/26/2015 15:26:32']"
4,539f7182ec4f024411ece6f7,https://openei.org/apps/USURDB/rate/view/539f7182ec4f024411ece6f7,11124,Group 4 Industrial Secondary,"City of Lodi,"" California (Utility Company)",Industrial,"This schedule shall be applied to accounts with billing period demands of between 500 kilowatts (kW) and 1,""000 kW for three consecutive billing cycles. This schedule is not available for service when another commercial/industrial schedule is applicable.   Demand: The billing period and peak period demands will be the maximum average power taken during any 15*minute interval in the billing period and peak period,"" respectively,"" but not less than the diversified resistance welder load. In cases where the use of energy is intermittent or subject to violent fluctuations,"" a 5*minute interval may be used.  Assignment to Schedule: If,"" in the judgement of the City,"" an account is expected to have billing period demand between 500 kW and 1,""000 kW per billing cycle,"" the City has the option of placing the account immediately on this schedule.  When an account billed on this schedule permanently changes the nature of electrical operations to such an extent that the account would in time qualify for another rate schedule,"" such billing change will be made as soon as practicable after verification of said changes. It shall be the responsibility of the customer to notify the City of any such changes.  If billing period demand drops below 500 kW and remains there for 12 consecutive billing cycles,"" the City will transfer the account to the appropriate rate schedule. If billing period demand reaches or exceeds 1,""000 kW for three consecutive billing cycles,"" the account will be transferred to the appropriate rate schedule.   *Adjustment = California Solar Initiative Surcharge  *Summer Partial Peak = 8:30 a.m. to 3:00 p.m. and 7:00 p.m. to 9:30 p.m. Monday through Friday (except holidays)  *Summer Off Peak = 9:30 p.m. to 8:30 a.m. Monday through Friday and all day Saturday,"" Sunday and holidays.   *Winter Partial Peak = 8:30 a.m. to 9:30 p.m. Monday through Friday (except holidays).   *Winter Off Peak = 9:30 p.m. to 8:30 a.m. Monday through Friday and all day Saturday,"" Sunday and holidays.",No comments,No voltage category given,12,1000000000.0,1000000000.0,2,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,07/06/2007,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['07/16/2012 10:40:03', '07/16/2012 10:47:28', '07/16/2012 10:47:43', '07/16/2012 10:50:08', '12/07/2012 21:17:16', '02/18/2013 08:42:59', '04/16/2014 14:34:49', '03/26/2015 15:26:28']"
5,539f74b2ec4f024411ed0b6b,https://openei.org/apps/USURDB/rate/view/539f74b2ec4f024411ed0b6b,11124,Group 2 Industrial,"City of Lodi,"" California (Utility Company)",Commercial,"This schedule will be applied to accounts with energy consumption in excess of 8,""000 kilowatt*hours (kWh) for three consecutive billing cycles. This schedule is not available for service when another commercial/industrial schedule is applicable.   Billing Demand: The billing demand in any billing cycle will be the maximum average power taken during any metering interval in the period,"" but not less than the diversified resistance welder load. (The customary metering interval is 15 minutes; in cases where the use of energy is intermittent or subject to violent fluctuations,"" a 5*minute interval may be used.)  Assignment to Schedule: If,"" in the judgement of the City,"" an account is expected to have usage over 8,""000 kWh per billing cycle,"" the City has the option of placing the account immediately on this schedule.  When an account billed on this schedule permanently changes the nature of electrical operations to such an extent that the account would in time qualify for another rate schedule,"" such billing change will be made as soon as practicable after verification of said changes. It shall be the responsibility of the customer to notify the City of any such changes.  If energy consumption drops below 8,""000 kWh and remains there for 12 consecutive billing cycles,"" the City will transfer the account to the appropriate schedule. If the billing demand reaches or exceeds 400 kW for three consecutive billing cycles,"" the account will be transferred to the appropriate rate schedule as soon as practicable.  *G1*Non*profit (as defined in Federal Internal Revenue 501 (c) (3)) Industrial/Commercial customers who are currently receiving Federal Community Development Block Grant funds or have received such funds not more than two years before preparation of the current billing cycle charge are eligible for the following discount on Energy and Demand charges:   July 1,"" 1996 and after: 30%  It is the customer's responsibility to notify the Finance Department of this eligibility.  This discount may not be used in conjunction with any other incentive discount.  *Adjustment = California Solar Initiative Surcharge",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,2,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,07/06/2007,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['07/16/2012 09:33:18', '07/16/2012 09:41:18', '07/16/2012 09:42:00', '12/08/2012 01:45:34', '03/26/2015 15:26:49']"
6,539fb57cec4f024bc1dbf537,https://openei.org/apps/USURDB/rate/view/539fb57cec4f024bc1dbf537,11124,Commercial G5 - Primary,"City of Lodi,"" California (Utility Company)",Commercial,"This schedule is an optional rate for accounts who would otherwise qualify for primary service under the G5 rate schedule with billing period demands of 1,""000 kilowatts (kW) or more for three consecutive months.  Demand: The billing period and peak period demands will be the maximum average power taken during any 15*minute period interval in the billing period and peak period,"" respectively,"" but not less than the diversified resistance welder load. In cases where the use of energy is intermittent or subject to violent fluctuations,"" a 5*minute interval may be used.  Assignment to Schedule: Assignment to this schedule is at the option of the customer and does not supersede any standby service contracts.  This rate schedule is prospective and not subject to rebate or retroactivity.  When a customer chooses to be assigned to this schedule,"" the customer elects the City of Lodi (City) to be the sole electric power requirements provider of choice. The customer must give the City three year written notice before the customer can elect to use another electric power requirements provider.  When a customer has a measurable incremental permanent load increase of 200 kW or greater,"" over the highest billing period demand in the previous twelve (12) months the customer will be eligible for a ten (10) percent discount on the incremental Demand and Energy charges. Such billing change will be made as soon as practicable after verification of said changes and is not subject to rebate or retroactivity. It shall be the responsibility of the customer to notify the City of any such change.  When an account billed on this schedule qualifies for another City bundled rate schedule,"" the customer may elect to be billed on that other rate schedule. When a customer chooses to be assigned to another bundled rate a three*year written notice is still required before the customer can elect to use another electric power requirements provider.  If the billing period demand drops below 1,""000 kW and remains there for 12 consecutive billing cycles,"" the City will transfer the account to the appropriate rate schedule and the customer will be subject to the requirements of the appropriate schedule,"" rather than schedule I1.",No comments,No voltage category given,12,1000000000.0,1000000000.0,2,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,07/06/2007,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['04/06/2012 13:31:53', '04/06/2012 13:46:38', '04/06/2012 13:55:48', '04/06/2012 14:00:24', '04/06/2012 14:13:27', '07/16/2012 12:17:18', '12/08/2012 14:17:06', '11/14/2013 09:15:00', '11/14/2013 09:15:19', '04/16/2014 14:01:31', '04/16/2014 14:03:49', '03/26/2015 15:26:46']"
7,539fb5b0ec4f024bc1dbf7a5,https://openei.org/apps/USURDB/rate/view/539fb5b0ec4f024bc1dbf7a5,11124,Commercial G5 - Secondary,"City of Lodi,"" California (Utility Company)",Commercial,"This schedule is an optional rate for accounts who would otherwise qualify for primary service under the G5 rate schedule with billing period demands of 1,""000 kilowatts (kW) or more for three consecutive months.  Demand: The billing period and peak period demands will be the maximum average power taken during any 15*minute period interval in the billing period and peak period,"" respectively,"" but not less than the diversified resistance welder load. In cases where the use of energy is intermittent or subject to violent fluctuations,"" a 5*minute interval may be used.  Assignment to Schedule: Assignment to this schedule is at the option of the customer and does not supersede any standby service contracts.  This rate schedule is prospective and not subject to rebate or retroactivity.  When a customer chooses to be assigned to this schedule,"" the customer elects the City of Lodi (City) to be the sole electric power requirements provider of choice. The customer must give the City three year written notice before the customer can elect to use another electric power requirements provider.  When a customer has a measurable incremental permanent load increase of 200 kW or greater,"" over the highest billing period demand in the previous twelve (12) months the customer will be eligible for a ten (10) percent discount on the incremental Demand and Energy charges. Such billing change will be made as soon as practicable after verification of said changes and is not subject to rebate or retroactivity. It shall be the responsibility of the customer to notify the City of any such change.  When an account billed on this schedule qualifies for another City bundled rate schedule,"" the customer may elect to be billed on that other rate schedule. When a customer chooses to be assigned to another bundled rate a three*year written notice is still required before the customer can elect to use another electric power requirements provider.  If the billing period demand drops below 1,""000 kW and remains there for 12 consecutive billing cycles,"" the City will transfer the account to the appropriate rate schedule and the customer will be subject to the requirements of the appropriate schedule,"" rather than schedule I1.",No comments,No voltage category given,12,1000000000.0,1000000000.0,2,1000000000.0,1000000000.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,07/06/2007,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['11/14/2013 09:16:17', '11/14/2013 09:18:01', '11/14/2013 09:18:16', '04/16/2014 14:07:33', '03/26/2015 15:26:43']"
8,539fb5e6ec4f024bc1dbfa35,https://openei.org/apps/USURDB/rate/view/539fc057ec4f024c27d89b1f,11124,Group 1 Commercial Single Phase,"City of Lodi,"" California (Utility Company)",Commercial,"This schedule is applicable to customers with single*phase or three*phase service,"" or to a combination thereof,"" whose energy consumption does not exceed 8,""000 kilowatt*hours (kWh) per billing cycle for three consecutive billing cycles. This schedule is not available for service when another commercial/industrial schedule is applicable.  Assignment to Schedule: If,"" in the judgement of the City,"" an account is expected to have usage below 8,""000 kWh per billing cycle,"" the City has the option of placing the account immediately on this schedule.  When an account billed on this schedule permanently changes the nature of electrical operations to such an extent that the account would in time qualify for another rate schedule,"" such billing change will be made as soon as practicable after verification of said changes.  If energy consumption equals or exceeds 8,""000 kWh for three consecutive billing cycles,"" the City will transfer the account to the appropriate rate schedule. If the demand reaches or exceeds 400 kW for three consecutive billing cycles,"" the account will be transferred to the appropriate rate schedule.   *G1*Non*profit (as defined in Federal Internal Revenue 501 (c) (3)) Industrial/Commercial customers who are currently receiving Federal Community Development Block Grant funds or have received such funds not more than two years before preparation of the current billing cycle charge are eligible for the following discount on Energy and Demand charges:  July 1,"" 1996 and after: 30%   *Adjustment = California Solar Initiative Surcharge",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,2,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,07/01/2012,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['04/16/2014 14:11:39', '04/16/2014 14:14:50', '03/26/2015 15:26:50']"
9,539fb9eaec4f024bc1dc27bd,https://openei.org/apps/USURDB/rate/view/539fb9eaec4f024bc1dc27bd,11124,Standby Service(Primary),"City of Lodi,"" California (Utility Company)",Commercial,"This schedule is applicable to commercial/industrial customers who would otherwise qualify for Schedule G2,"" G3,"" G4,"" G5 or I1 and who operate privately*owned generating plants with a combined nameplate rating greater than 100 kilowatts (kW) on their premises and where the City must stand ready to supply electric service to replace such a plant.","All energy provided by the City will be billed at the applicable energy rate for the appropriate service voltage,"" season and periods as defined in the rate schedule for which the customer would normally qualify.",No voltage category given,12,1000000000.0,1000000000.0,2,1000000000.0,1000000000.0,1,0.0,0.0,1e+99,0,1e+99,0,True,05/01/1998,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['02/18/2013 09:39:48', '02/18/2013 09:41:22', '04/22/2013 14:09:34', '04/22/2013 14:12:34', '03/26/2015 15:26:53']"
10,539fbe67ec4f024c27d88637,https://openei.org/apps/USURDB/rate/view/539fbe67ec4f024c27d88637,11124,Group 2 Commercial,"City of Lodi,"" California (Utility Company)",Commercial,"This schedule will be applied to accounts with energy consumption in excess of 8,""000 kilowatt*hours (kWh) for three consecutive billing cycles. This schedule is not available for service when another commercial/industrial schedule is applicable.   Billing Demand: The billing demand in any billing cycle will be the maximum average power taken during any metering interval in the period,"" but not less than the diversified resistance welder load. (The customary metering interval is 15 minutes; in cases where the use of energy is intermittent or subject to violent fluctuations,"" a 5*minute interval may be used.)  Assignment to Schedule: If,"" in the judgement of the City,"" an account is expected to have usage over 8,""000 kWh per billing cycle,"" the City has the option of placing the account immediately on this schedule.  When an account billed on this schedule permanently changes the nature of electrical operations to such an extent that the account would in time qualify for another rate schedule,"" such billing change will be made as soon as practicable after verification of said changes. It shall be the responsibility of the customer to notify the City of any such changes.  If energy consumption drops below 8,""000 kWh and remains there for 12 consecutive billing cycles,"" the City will transfer the account to the appropriate schedule. If the billing demand reaches or exceeds 400 kW for three consecutive billing cycles,"" the account will be transferred to the appropriate rate schedule as soon as practicable.   *G1*Non*profit (as defined in Federal Internal Revenue 501 (c) (3)) Industrial/Commercial customers who are currently receiving Federal Community Development Block Grant funds or have received such funds not more than two years before preparation of the current billing cycle charge are eligible for the following discount on Energy and Demand charges:  July 1,"" 1996 and after: 30%  It is the customer's responsibility to notify the Finance Department of this eligibility.  This discount may not be used in conjunction with any other incentive discount.   *Adjustment = California Solar Initiative Surcharge",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,2,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,07/06/2007,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['07/16/2012 09:08:56', '07/16/2012 09:11:34', '07/16/2012 09:11:57', '07/16/2012 09:13:23', '07/16/2012 09:14:03', '12/07/2012 07:28:15', '03/26/2015 15:26:24']"
