"Table Device_table(param_vals,devices)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
input_heat_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_heat_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_startup_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_startup_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_cap_cost,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,16466666.67,16466666.67,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,16466666.67,16466666.67,1.65E+07,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,16466666.67,1.65E+07,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,16466666.67,1.65E+07,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,16466666.67,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,16466666.67,1.65E+07,1.65E+07,16466666.67,1.65E+07,16466666.67,16466666.67,1.65E+07,1.65E+07,16466666.67,1.65E+07,1.65E+07,1.65E+07,1.65E+07,16466666.67,1.65E+07,16466666.67,1.65E+07,1.65E+07,16466666.67,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,1.65E+07,16466666.67,1.65E+07,1.65E+07
input_cap_alt_cost,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67,11666666.67
output_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2stor_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2comp_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_FOM_cost,206338.8314,228514.8332,166531.3162,104848.3969,78331.62826,78747.21418,120957.9674,99925.24812,143478.2315,69304.56851,102580.9264,150645.6847,117229.6281,156959.5019,102580.9264,37680.72626,67827.55368,139152.4875,109338.4097,86875.00777,97600.91537,48478.2382,87098.1044,124902.664,400086.9539,369271.1174,448400.6425,290141.5922,342894.609,471411.0453,266487.4524,303244.3424,150404.4764,150404.4764,257916.414,227775.7642,199242.9826,221319.7211,155086.5572,210768.3315,228345.7908,213544.7544,273304.1847,184406.5652,187355.9617,244776.3172,250058.8916,195522.0846,191645.9035,195522.0846,226344.8008,257923.2936,185137.7718,185137.7718,206035.1448,185137.7718,185137.7718,108094.7407,185944.6543,216935.4301,278916.9815,185944.6543,278916.9815,247926.2058,185944.6543,185944.6543,206452.8368,179188.8559,276086.5044,222509.8974,350152.6205,182899.9258,216947.2237,202360.4386,236337.9574,200005.639,133826.5293,66408.80512,44272.53675,80915.70221,308611.0168,263765.0838,249421.7535,177220.7196,162302.4486,161781.5622,200841.7248,191309.2227,153488.7978,179462.216,128012.398,126826.0125,187818.1606,161404.5864,146810.6409,173131.5507,179955.0222,141240.2452,187660.9119,132661.0635,176601.5527,147167.9606,132661.0635,117734.3685,154953.8786,177887.6227,177746.52,153234.6727,225371.1223,152256.0801,199915.0805,204491.4397,183450.9984,204218.3604,173214.3871,196366.4541,198148.1384,110391.4145,215253.8515,40392.284
input_FOM_alt_cost,551461.6535,656366.7739,470534.8413,277569.6736,205904.4713,213751.6441,319671.7911,267668.8595,383915.2305,177377.4815,268473.6541,405108.5558,310580.7381,415669.363,271405.0925,99439.73786,180197.2955,404624.2984,300140.2566,258995.6321,293228.0476,144404.5133,256294.5745,367538.1382,1062138.15,980329.2455,1194909.423,772273.9081,928382.5407,1274715.194,744657.0897,878602.6463,442579.6812,435773.2445,654434.5818,670252.1595,586291.6973,641238.9795,456357.1557,627825.9992,562214.8191,628376.0403,814104.622,499278.2944,551312.9913,729127.2594,744862.7237,582411.2534,477985.5134,582411.2534,674224.3945,686937.3235,559376.636,559376.636,622516.1139,551478.9899,500620.2825,331493.2704,538745.3038,584582.3659,808117.9556,547160.0833,820740.125,681280.964,547160.0833,547160.0833,607507.3886,492396.3406,785794.0095,654756.8386,1014511.983,538200.6761,638388.1345,537220.0717,660409.0884,595766.6373,393797.4726,197815.1752,128272.6914,241027.5833,864222.9551,700235.1753,722660.1853,472262.2756,483458.2891,476057.8537,571633.2443,562945.8434,451655.5946,510783.1494,381316.8283,377782.8835,534565.7362,474948.5662,437312.0795,492764.8878,502855.8827,420719.2675,534118.1768,395164.037,533585.2405,444654.367,400823.1206,355723.4936,455966.7361,477984.5233,480364.1037,450907.8068,641448.5133,441137.9743,588269.4102,542877.3857,522135.9729,608315.278,501861.3625,520433.241,563966.7917,324837.3866,601492.885,120318.4837
output_FOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_VOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_VOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
output_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
H2stor_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
H2comp_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2stor_interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2comp_interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2_use,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2_price_adj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_consumed_adj,0.211138306,0.282995797,0.182700837,0.146197001,0.110081649,0.115008455,0.170068275,0.140370924,0.200415969,0.076699448,0.147800395,0.20827619,0.164921726,0.21916691,0.146605605,0.051956095,0.091536868,0.209123988,0.156488098,0.134158673,0.15389748,0.075786005,0.096045619,0.134981257,0.385670347,0.355964919,0.443370679,0.312967538,0.339048167,0.519838704,0.285217244,0.324557553,0.162540851,0.162540851,0.278728096,0.251174976,0.219711046,0.244055709,0.167600736,0.232420384,0.244394836,0.230776017,0.301380493,0.207694962,0.206602881,0.269921982,0.281638411,0.220214242,0.211333525,0.220214242,0.254929507,0.290495995,0.208518511,0.208518511,0.232054979,0.208518511,0.208518511,0.124032673,0.205046592,0.234440292,0.307569887,0.205046592,0.307569887,0.273395455,0.205046592,0.205046592,0.227661562,0.183356818,0.295490955,0.240464572,0.374762731,0.201689081,0.234453037,0.21658313,0.248129057,0.220552049,0.144625203,0.104713647,0.068348864,0.124919346,0.316882547,0.365128795,0.37373294,0.265547089,0.250565899,0.249761744,0.300940745,0.289444771,0.236959201,0.263782032,0.197628205,0.195796638,0.276063994,0.249179761,0.231491556,0.259419889,0.264506382,0.222708135,0.289714822,0.20918045,0.278465974,0.232054979,0.20918045,0.185643983,0.234440292,0.274626615,0.266334947,0.231839188,0.331261108,0.235056106,0.302465161,0.306409469,0.274882524,0.342683659,0.259544011,0.281307557,0.296904682,0.174065586,0.32253584,0.045493358
energy_only,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
baseload_operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
