"Table Device_table(param_vals,devices)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
input_heat_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_heat_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_startup_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_startup_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_cap_cost,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8441666.667,8441666.667,8.44E+06,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8.44E+06,8441666.667,8441666.667,8.44E+06,8.44E+06,8441666.667,8441666.667,8441666.667,8441666.667,8.44E+06,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8.44E+06,8441666.667,8.44E+06,8.44E+06,8441666.667,8441666.667,8441666.667,8441666.667,8.44E+06,8441666.667,8.44E+06,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8441666.667,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8441666.667,8.44E+06,8.44E+06,8441666.667,8.44E+06,8441666.667,8441666.667,8.44E+06,8.44E+06,8441666.667,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8441666.667,8.44E+06,8441666.667,8.44E+06,8.44E+06,8441666.667,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8.44E+06,8441666.667,8.44E+06,8.44E+06
input_cap_alt_cost,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333,5833333.333
output_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2stor_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2comp_cap_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_FOM_cost,103169.4157,114257.4166,83265.65808,52424.19844,39165.81413,39373.60709,60478.98369,49962.62406,71739.11577,34652.28425,51290.4632,75322.84234,58614.81407,78479.75094,51290.4632,18840.36313,33913.77684,69576.24377,54669.20483,43437.50388,48800.45769,24239.1191,43549.0522,62451.33202,200043.4769,184635.5587,224200.3212,145070.7961,171447.3045,235705.5227,133243.7262,151622.1712,75202.23818,75202.23818,128958.207,113887.8821,99621.49132,110659.8606,77543.27861,105384.1658,114172.8954,106772.3772,136652.0924,92203.28261,93677.98083,122388.1586,125029.4458,97761.04231,95822.95175,97761.04231,113172.4004,128961.6468,92568.8859,92568.8859,103017.5724,92568.8859,92568.8859,54047.37035,92972.32717,108467.715,139458.4907,92972.32717,139458.4907,123963.1029,92972.32717,92972.32717,103226.4184,89594.42794,138043.2522,111254.9487,175076.3103,91449.96292,108473.6119,101180.2193,118168.9787,100002.8195,66913.26465,33204.40256,22136.26837,40457.8511,154305.5084,131882.5419,124710.8767,88610.35979,81151.2243,80890.78109,100420.8624,95654.61137,76744.39892,89731.10798,64006.19901,63413.00626,93909.0803,80702.29322,73405.32047,86565.77534,89977.51112,70620.12259,93830.45593,66330.53176,88300.77636,73583.9803,66330.53176,58867.18424,77476.9393,88943.81133,88873.26001,76617.33633,112685.5611,76128.04007,99957.54027,102245.7199,91725.4992,102109.1802,86607.19353,98183.22706,99074.06918,55195.70726,107626.9257,20196.142
input_FOM_alt_cost,275730.8267,334811.0074,235267.4207,138784.8368,102952.2356,106875.822,159835.8956,133834.4297,191957.6153,88688.74077,134236.827,202554.2779,155290.369,207834.6815,135702.5462,49719.86893,90098.64774,202312.1492,150070.1283,129497.816,146614.0238,72202.25665,128147.2873,183769.0691,531069.0752,490164.6227,597454.7115,386136.954,464191.2703,637357.597,372328.5448,439301.3232,221289.8406,217886.6222,327217.2909,335126.0798,293145.8486,320619.4898,228178.5779,313912.9996,281107.4095,314188.0201,407052.311,249639.1472,275656.4957,364563.6297,372431.3619,291205.6267,238992.7567,291205.6267,337112.1972,343468.6617,279688.318,279688.318,311258.0569,275739.4949,250310.1413,165746.6352,269372.6519,292291.1829,404058.9778,273580.0417,410370.0625,340640.482,273580.0417,273580.0417,303753.6943,246198.1703,392897.0048,327378.4193,507255.9913,269100.338,319194.0673,268610.0358,330204.5442,297883.3186,196898.7363,98907.5876,64136.34569,120513.7917,432111.4776,350117.5877,361330.0926,236131.1378,241729.1446,238028.9269,285816.6222,281472.9217,225827.7973,255391.5747,190658.4142,188891.4418,267282.8681,237474.2831,218656.0397,246382.4439,251427.9414,210359.6338,267059.0884,197582.0185,266792.6202,222327.1835,200411.5603,177861.7468,227983.3681,238992.2616,240182.0519,225453.9034,320724.2567,220568.9871,294134.7051,271438.6928,261067.9865,304157.639,250930.6812,260216.6205,281983.3959,162418.6933,300746.4425,60159.24185
output_FOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_VOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
output_VOM_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
output_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
H2stor_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
H2comp_lifetime,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2stor_interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2comp_interest_rate,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
H2_use,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2_price_adj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_consumed_adj,0.445736424,0.618546683,0.385701767,0.308638114,0.232394592,0.242795627,0.359033025,0.296338617,0.42310038,0.161921057,0.312023057,0.439694178,0.348168089,0.462685698,0.309500722,0.109685089,0.193244499,0.441483975,0.330363762,0.283223865,0.324894681,0.159992678,0.202762974,0.284960431,0.814192956,0.751481496,0.936004767,0.660709248,0.715768352,1.097437264,0.602125293,0.685177057,0.343141796,0.343141796,0.58842598,0.530258283,0.46383443,0.515228719,0.353823776,0.490665256,0.515944653,0.487193814,0.636247707,0.438467142,0.436161639,0.569835294,0.594569979,0.464896732,0.446148554,0.464896732,0.538184515,0.613269323,0.440205746,0.440205746,0.489893844,0.440205746,0.440205746,0.261846754,0.432876138,0.494929505,0.649314207,0.432876138,0.649314207,0.577168184,0.432876138,0.432876138,0.480618854,0.387086615,0.623814239,0.507647429,0.791165765,0.425788059,0.494956411,0.457231052,0.523828009,0.465609882,0.305319873,0.221062143,0.144292046,0.263718618,0.668974265,0.770827456,0.788991763,0.560599411,0.528972453,0.527274792,0.635319351,0.611050073,0.500247203,0.556873178,0.417215099,0.413348459,0.582801764,0.526046161,0.488704396,0.547664209,0.558402362,0.470161619,0.611620181,0.441603173,0.587872613,0.489893844,0.441603173,0.391915075,0.494929505,0.579767299,0.562262666,0.489438285,0.699329006,0.496229557,0.638537562,0.646864435,0.58030755,0.72344328,0.547926244,0.59387151,0.626798773,0.367471793,0.680908996,0.096041534
energy_only,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
baseload_operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
